"UNITID","Institution_type","State"
"106306","Private, nonprofit","AR"
"106315","Private, for-profit","AR"
"106324","Private, for-profit","AR"
"106342","Private, nonprofit","AR"
"106351","Private, for-profit","AR"
"106360","Private, for-profit","AR"
"106397","Public","AR"
"106412","Public","AR"
"106449","Public","AR"
"106458","Public","AR"
"106467","Public","AR"
"106485","Public","AR"
"106494","Private, for-profit","AR"
"106546","Private, nonprofit","AR"
"106625","Public","AR"
"106704","Public","AR"
"106713","Private, nonprofit","AR"
"106795","Public","AR"
"106810","Private, nonprofit","AR"
"106883","Public","AR"
"106892","Private, for-profit","AR"
"106908","Private, for-profit","AR"
"106980","Public","AR"
"106999","Public","AR"
"107044","Private, nonprofit","AR"
"107071","Public","AR"
"107080","Private, nonprofit","AR"
"107099","Private, for-profit","AR"
"107123","Private, nonprofit","AR"
"107141","Private, nonprofit","AR"
"107220","Private, for-profit","AR"
"107293","Private, for-profit","AR"
"107318","Public","AR"
"107327","Public","AR"
"107442","Private, for-profit","AR"
"107460","Public","AR"
"107488","Public","AR"
"107512","Private, nonprofit","AR"
"107521","Public","AR"
"107549","Public","AR"
"107558","Private, nonprofit","AR"
"107585","Public","AR"
"107600","Private, nonprofit","AR"
"107619","Public","AR"
"107637","Public","AR"
"107655","Private, for-profit","AR"
"107664","Public","AR"
"107725","Public","AR"
"107743","Public","AR"
"107789","Private, for-profit","AR"
"107831","Private, for-profit","AR"
"107840","Private, nonprofit","AR"
"107877","Private, nonprofit","AR"
"107974","Public","AR"
"107983","Public","AR"
"107992","Public","AR"
"108065","Private, for-profit","AR"
"108092","Public","AR"
"108232","Private, for-profit","CA"
"108269","Private, nonprofit","CA"
"108667","Public","CA"
"108807","Public","CA"
"108852","Private, nonprofit","CA"
"108861","Private, nonprofit","CA"
"108870","Private, nonprofit","CA"
"108977","Private, for-profit","CA"
"109040","Private, for-profit","CA"
"109086","Private, nonprofit","CA"
"109208","Public","CA"
"109350","Public","CA"
"109651","Private, nonprofit","CA"
"109721","Private, for-profit","CA"
"109730","Private, for-profit","CA"
"109785","Private, nonprofit","CA"
"109819","Public","CA"
"109907","Public","CA"
"109934","Private, for-profit","CA"
"110060","Private, nonprofit","CA"
"110097","Private, nonprofit","CA"
"110194","Private, for-profit","CA"
"110219","Private, for-profit","AZ"
"110246","Public","CA"
"110316","Private, nonprofit","CA"
"110334","Public","CA"
"110361","Private, nonprofit","CA"
"110370","Private, nonprofit","CA"
"110398","Public","CA"
"110404","Private, nonprofit","CA"
"110413","Private, nonprofit","CA"
"110422","Public","CA"
"110468","Private, for-profit","CA"
"110486","Public","CA"
"110495","Public","CA"
"110510","Public","CA"
"110529","Public","CA"
"110538","Public","CA"
"110547","Public","CA"
"110556","Public","CA"
"110565","Public","CA"
"110574","Public","CA"
"110583","Public","CA"
"110592","Public","CA"
"110608","Public","CA"
"110617","Public","CA"
"110635","Public","CA"
"110644","Public","CA"
"110653","Public","CA"
"110662","Public","CA"
"110671","Public","CA"
"110680","Public","CA"
"110699","Public","CA"
"110705","Public","CA"
"110714","Public","CA"
"110778","Private, for-profit","CA"
"110875","Private, for-profit","CA"
"110918","Private, nonprofit","CA"
"111045","Private, nonprofit","CA"
"111054","Private, for-profit","CA"
"111081","Private, nonprofit","CA"
"111188","Public","CA"
"111391","Private, nonprofit","CA"
"111434","Public","CA"
"111461","Public","CA"
"111513","Private, for-profit","CA"
"111638","Private, nonprofit","CA"
"111708","Private, nonprofit","CA"
"111717","Private, nonprofit","CA"
"111726","Private, nonprofit","CA"
"111744","Private, nonprofit","CA"
"111762","Private, nonprofit","CA"
"111799","Private, nonprofit","CA"
"111887","Public","CA"
"111896","Public","CA"
"111920","Public","CA"
"111939","Public","CA"
"111948","Private, nonprofit","CA"
"111966","Private, nonprofit","CA"
"112075","Private, nonprofit","CA"
"112084","Private, nonprofit","CA"
"112127","Private, nonprofit","CA"
"112172","Public","CA"
"112181","Private, for-profit","CA"
"112190","Public","CA"
"112251","Private, nonprofit","CA"
"112260","Private, nonprofit","CA"
"112288","Private, for-profit","CA"
"112367","Public","CA"
"112385","Public","CA"
"112394","Private, for-profit","CA"
"112455","Private, for-profit","CA"
"112525","Private, nonprofit","CA"
"112561","Public","CA"
"112570","Private, nonprofit","CA"
"112686","Public","CA"
"112826","Public","CA"
"113096","Public","CA"
"113111","Public","CA"
"113193","Public","CA"
"113218","Public","CA"
"113236","Public","CA"
"113333","Public","CA"
"113449","Private, for-profit","CA"
"113537","Private, nonprofit","CA"
"113573","Public","CA"
"113582","Private, for-profit","CA"
"113634","Public","CA"
"113698","Private, nonprofit","CA"
"113704","Private, nonprofit","CA"
"113856","Public","CA"
"113980","Public","CA"
"114114","Private, for-profit","CA"
"114123","Private, for-profit","CA"
"114266","Public","CA"
"114354","Private, for-profit","CA"
"114390","Private, for-profit","CA"
"114433","Public","CA"
"114460","Private, for-profit","CA"
"114549","Private, nonprofit","CA"
"114585","Private, for-profit","CA"
"114637","Private, for-profit","CA"
"114716","Public","CA"
"114734","Private, nonprofit","CA"
"114761","Private, for-profit","CA"
"114789","Public","CA"
"114813","Private, nonprofit","CA"
"114840","Private, nonprofit","CA"
"114859","Public","CA"
"114938","Public","CA"
"114947","Private, nonprofit","CA"
"115001","Public","CA"
"115010","Private, for-profit","CA"
"115083","Private, nonprofit","CA"
"115126","Public","CA"
"115214","Private, nonprofit","CA"
"115296","Public","CA"
"115357","Private, for-profit","CA"
"115393","Public","CA"
"115409","Private, nonprofit","CA"
"115658","Private, for-profit","CA"
"115728","Private, nonprofit","CA"
"115746","Private, for-profit","CA"
"115755","Public","CA"
"115773","Private, nonprofit","CA"
"115861","Public","CA"
"115931","Private, for-profit","CA"
"116226","Private, for-profit","CA"
"116350","Private, for-profit","CA"
"116439","Public","CA"
"116563","Private, for-profit","CA"
"116846","Private, nonprofit","CA"
"117052","Public","CA"
"117104","Private, nonprofit","CA"
"117140","Private, nonprofit","CA"
"117168","Private, nonprofit","CA"
"117195","Public","CA"
"117238","Private, for-profit","CA"
"117247","Public","CA"
"117274","Public","CA"
"117520","Private, nonprofit","CA"
"117557","Private, nonprofit","CA"
"117575","Private, nonprofit","CA"
"117627","Private, nonprofit","CA"
"117636","Private, nonprofit","CA"
"117645","Public","CA"
"117672","Private, nonprofit","CA"
"117690","Public","CA"
"117706","Public","CA"
"117715","Public","CA"
"117724","Public","CA"
"117733","Public","CA"
"117751","Private, nonprofit","CA"
"117788","Public","CA"
"117803","Public","CA"
"117867","Public","CA"
"117894","Public","CA"
"117946","Private, nonprofit","CA"
"117955","Private, for-profit","CA"
"118134","Private, for-profit","CA"
"118143","Private, for-profit","CA"
"118161","Private, for-profit","CA"
"118198","Private, for-profit","CA"
"118347","Public","CA"
"118541","Private, nonprofit","CA"
"118684","Public","CA"
"118693","Private, nonprofit","CA"
"118718","Public","CA"
"118772","Public","CA"
"118888","Private, nonprofit","CA"
"118912","Public","CA"
"118930","Public","CA"
"118958","Private, for-profit","CA"
"118976","Public","CA"
"118994","Private, for-profit","CA"
"119058","Private, nonprofit","CA"
"119067","Public","CA"
"119137","Public","CA"
"119164","Public","CA"
"119173","Private, nonprofit","CA"
"119216","Public","CA"
"119270","Private, for-profit","CA"
"119331","Public","CA"
"119553","Private, for-profit","CA"
"119605","Private, nonprofit","CA"
"119678","Public","CA"
"119775","Private, for-profit","CA"
"119845","Private, for-profit","CA"
"119951","Private, for-profit","CA"
"120069","Private, for-profit","CA"
"120078","Private, for-profit","CA"
"120087","Private, for-profit","CA"
"120184","Private, nonprofit","CA"
"120254","Private, nonprofit","CA"
"120290","Public","CA"
"120342","Public","CA"
"120403","Private, nonprofit","CA"
"120421","Public","CA"
"120537","Private, nonprofit","CA"
"120661","Private, for-profit","CA"
"120698","Private, nonprofit","CA"
"120768","Private, nonprofit","CA"
"120795","Private, nonprofit","CA"
"120838","Private, nonprofit","CA"
"120865","Private, nonprofit","CA"
"120883","Private, nonprofit","CA"
"120953","Public","CA"
"120971","Public","CA"
"121044","Public","CA"
"121150","Private, nonprofit","CA"
"121257","Private, nonprofit","CA"
"121275","Private, for-profit","CA"
"121309","Private, nonprofit","CA"
"121345","Private, nonprofit","CA"
"121363","Public","CA"
"121433","Private, for-profit","CA"
"121619","Public","CA"
"121628","Private, nonprofit","CA"
"121637","Private, for-profit","CA"
"121691","Private, nonprofit","CA"
"121707","Public","CA"
"121859","Private, for-profit","CA"
"121868","Private, for-profit","CA"
"121886","Public","CA"
"121901","Public","CA"
"121992","Private, for-profit","CA"
"122117","Private, nonprofit","CA"
"122180","Public","CA"
"122205","Public","CA"
"122296","Private, nonprofit","CA"
"122339","Public","CA"
"122375","Public","CA"
"122384","Public","CA"
"122409","Public","CA"
"122436","Private, nonprofit","CA"
"122454","Private, nonprofit","CA"
"122506","Private, nonprofit","CA"
"122597","Public","CA"
"122612","Private, nonprofit","CA"
"122649","Private, nonprofit","CA"
"122658","Public","CA"
"122685","Private, for-profit","CA"
"122728","Private, nonprofit","CA"
"122746","Public","CA"
"122755","Public","CA"
"122791","Public","CA"
"122834","Private, for-profit","CA"
"122852","Private, for-profit","CA"
"122889","Public","CA"
"122931","Private, nonprofit","CA"
"122977","Public","CA"
"123013","Public","CA"
"123095","Private, nonprofit","CA"
"123165","Private, nonprofit","CA"
"123217","Public","CA"
"123280","Private, nonprofit","CA"
"123299","Public","CA"
"123341","Public","CA"
"123350","Private, for-profit","CA"
"123448","Private, nonprofit","CA"
"123457","Private, nonprofit","CA"
"123484","Public","CA"
"123493","Public","CA"
"123509","Public","CA"
"123527","Public","CA"
"123554","Private, nonprofit","CA"
"123563","Public","CA"
"123572","Public","CA"
"123633","Private, nonprofit","CA"
"123642","Private, for-profit","CA"
"123651","Private, nonprofit","CA"
"123679","Private, for-profit","CA"
"123800","Public","CA"
"123855","Private, nonprofit","CA"
"123916","Private, nonprofit","CA"
"123943","Private, nonprofit","CA"
"123952","Private, nonprofit","CA"
"123961","Private, nonprofit","CA"
"123970","Private, nonprofit","CA"
"124113","Public","CA"
"124283","Private, nonprofit","CA"
"124292","Private, nonprofit","CA"
"124487","Private, nonprofit","CA"
"124681","Private, for-profit","CA"
"124706","Private, for-profit","CA"
"124937","Private, for-profit","CA"
"125028","Public","CA"
"125037","Private, nonprofit","CA"
"125091","Public","CA"
"125170","Public","CA"
"125231","Private, for-profit","MN"
"125310","Private, for-profit","CA"
"125462","Public","CA"
"125471","Public","CA"
"125499","Public","CA"
"125532","Private, for-profit","CA"
"125718","Private, nonprofit","CA"
"125727","Private, nonprofit","CA"
"125763","Private, nonprofit","CA"
"125897","Private, nonprofit","CA"
"126012","Private, nonprofit","CA"
"126049","Private, nonprofit","CA"
"126076","Private, nonprofit","CA"
"126119","Public","CA"
"126164","Private, for-profit","CO"
"126182","Public","CO"
"126207","Public","CO"
"126289","Public","CO"
"126359","Private, for-profit","CO"
"126562","Public","CO"
"126580","Public","CO"
"126605","Private, for-profit","CO"
"126614","Public","CO"
"126669","Private, nonprofit","CO"
"126678","Private, nonprofit","CO"
"126687","Private, for-profit","CO"
"126711","Public","CO"
"126748","Public","CO"
"126775","Public","CO"
"126784","Private, for-profit","CO"
"126818","Public","CO"
"126827","Private, for-profit","CO"
"126863","Public","CO"
"126915","Public","CO"
"126942","Public","CO"
"126951","Private, for-profit","CO"
"126979","Private, nonprofit","CO"
"127060","Private, nonprofit","CO"
"127158","Public","CO"
"127185","Public","CO"
"127200","Public","CO"
"127273","Private, nonprofit","CO"
"127316","Private, for-profit","CO"
"127389","Public","CO"
"127556","Public","CO"
"127565","Public","CO"
"127617","Public","CO"
"127653","Private, nonprofit","CO"
"127714","Private, nonprofit","CO"
"127732","Public","CO"
"127741","Public","CO"
"127778","Public","CO"
"127820","Public","CO"
"127884","Public","CO"
"127909","Public","CO"
"127918","Private, nonprofit","CO"
"127945","Private, for-profit","CO"
"127954","Private, nonprofit","CO"
"128106","Public","CO"
"128151","Public","CO"
"128179","Private, for-profit","CO"
"128188","Private, for-profit","CO"
"128258","Public","CO"
"128328","Public","CO"
"128337","Private, for-profit","CO"
"128391","Public","CO"
"128498","Private, nonprofit","CT"
"128577","Public","CT"
"128586","Private, nonprofit","NY"
"128744","Private, nonprofit","CT"
"128771","Public","CT"
"128780","Public","CT"
"128896","Private, for-profit","CT"
"128902","Private, nonprofit","CT"
"129002","Private, for-profit","CT"
"129020","Public","CT"
"129154","Private, nonprofit","CT"
"129181","Private, for-profit","CT"
"129215","Public","CT"
"129242","Private, nonprofit","CT"
"129349","Private, for-profit","CT"
"129367","Public","CT"
"129428","Private, nonprofit","CT"
"129482","Private, for-profit","CT"
"129491","Private, nonprofit","CT"
"129525","Private, nonprofit","CT"
"129534","Private, nonprofit","CT"
"129543","Public","CT"
"129695","Public","CT"
"129729","Public","CT"
"129756","Public","CT"
"129774","Private, nonprofit","CT"
"129808","Public","CT"
"129923","Private, for-profit","CT"
"129932","Private, for-profit","CT"
"129941","Private, nonprofit","CT"
"130004","Public","CT"
"130040","Public","CT"
"130110","Private, for-profit","CT"
"130174","Private, for-profit","CT"
"130183","Private, for-profit","CT"
"130217","Public","CT"
"130226","Private, nonprofit","CT"
"130253","Private, nonprofit","CT"
"130314","Private, nonprofit","CT"
"130396","Public","CT"
"130493","Public","CT"
"130509","Private, for-profit","CT"
"130590","Private, nonprofit","CT"
"130606","Public","CT"
"130624","Public","CT"
"130697","Private, nonprofit","CT"
"130776","Public","CT"
"130794","Private, nonprofit","CT"
"130837","Private, nonprofit","DE"
"130873","Private, for-profit","DE"
"130907","Public","DE"
"130934","Public","DE"
"130943","Public","DE"
"130989","Private, nonprofit","DE"
"131061","Private, for-profit","DE"
"131098","Private, nonprofit","DE"
"131113","Private, nonprofit","DE"
"131159","Private, nonprofit","DC"
"131283","Private, nonprofit","DC"
"131399","Public","DC"
"131405","Private, nonprofit","DC"
"131450","Private, nonprofit","DC"
"131469","Private, nonprofit","DC"
"131496","Private, nonprofit","DC"
"131520","Private, nonprofit","DC"
"131803","Private, for-profit","DC"
"131830","Private, nonprofit","DC"
"131876","Private, nonprofit","DC"
"131973","Private, nonprofit","DC"
"132374","Public","FL"
"132408","Private, nonprofit","FL"
"132471","Private, nonprofit","FL"
"132602","Private, nonprofit","FL"
"132657","Private, nonprofit","FL"
"132675","Public","FL"
"132693","Public","FL"
"132709","Public","FL"
"132842","Private, nonprofit","FL"
"132851","Public","FL"
"132879","Private, nonprofit","FL"
"132903","Public","FL"
"132976","Public","FL"
"133021","Public","FL"
"133155","Public","FL"
"133386","Public","FL"
"133465","Private, for-profit","FL"
"133492","Private, nonprofit","FL"
"133508","Public","FL"
"133526","Private, nonprofit","FL"
"133553","Private, nonprofit","FL"
"133650","Public","FL"
"133669","Public","FL"
"133702","Public","FL"
"133711","Private, nonprofit","FL"
"133809","Private, nonprofit","FL"
"133845","Private, for-profit","FL"
"133854","Private, for-profit","FL"
"133863","Private, for-profit","FL"
"133872","Private, nonprofit","FL"
"133881","Private, nonprofit","FL"
"133942","Private, for-profit","FL"
"133951","Public","FL"
"133960","Public","FL"
"133979","Private, nonprofit","FL"
"133997","Private, for-profit","FL"
"134024","Private, for-profit","FL"
"134079","Private, nonprofit","FL"
"134097","Public","FL"
"134130","Public","FL"
"134228","Private, for-profit","FL"
"134237","Private, for-profit","FL"
"134291","Public","FL"
"134307","Public","FL"
"134343","Public","FL"
"134495","Public","FL"
"134510","Private, nonprofit","FL"
"134529","Private, for-profit","FL"
"134574","Private, for-profit","FL"
"134608","Public","FL"
"134714","Private, for-profit","FL"
"134811","Private, for-profit","FL"
"134945","Private, nonprofit","FL"
"135081","Private, nonprofit","FL"
"135142","Private, for-profit","FL"
"135160","Public","FL"
"135179","Public","FL"
"135188","Public","FL"
"135267","Public","FL"
"135276","Public","FL"
"135294","Public","FL"
"135337","Private, for-profit","FL"
"135364","Private, nonprofit","GA"
"135391","Public","FL"
"135407","Public","FL"
"135522","Public","FL"
"135559","Private, for-profit","FL"
"135610","Private, nonprofit","FL"
"135647","Public","FL"
"135717","Public","FL"
"135726","Private, nonprofit","FL"
"135735","Public","FL"
"136109","Private, for-profit","FL"
"136145","Public","FL"
"136172","Public","FL"
"136215","Private, nonprofit","FL"
"136233","Public","FL"
"136303","Public","FL"
"136330","Private, nonprofit","FL"
"136358","Public","FL"
"136400","Public","FL"
"136473","Public","FL"
"136491","Public","FL"
"136516","Public","FL"
"136659","Public","FL"
"136701","Private, nonprofit","FL"
"136765","Public","FL"
"136774","Private, nonprofit","FL"
"136826","Public","FL"
"136950","Private, nonprofit","FL"
"137023","Public","FL"
"137032","Private, nonprofit","FL"
"137078","Public","FL"
"137087","Public","FL"
"137096","Public","FL"
"137120","Public","FL"
"137209","Public","FL"
"137245","Public","FL"
"137272","Private, nonprofit","FL"
"137281","Public","FL"
"137315","Public","FL"
"137351","Public","FL"
"137476","Private, nonprofit","FL"
"137546","Private, nonprofit","FL"
"137564","Private, nonprofit","FL"
"137591","Private, for-profit","FL"
"137713","Public","FL"
"137759","Public","FL"
"137777","Private, nonprofit","FL"
"137801","Private, nonprofit","FL"
"137847","Private, nonprofit","FL"
"137856","Public","FL"
"137865","Public","FL"
"137953","Private, nonprofit","FL"
"137962","Private, nonprofit","FL"
"138187","Public","FL"
"138275","Private, nonprofit","FL"
"138284","Public","FL"
"138293","Private, nonprofit","FL"
"138309","Private, for-profit","FL"
"138354","Public","FL"
"138372","Public","FL"
"138479","Public","FL"
"138488","Public","FL"
"138497","Public","FL"
"138558","Public","GA"
"138600","Private, nonprofit","GA"
"138655","Private, for-profit","GA"
"138664","Private, for-profit","GA"
"138682","Public","GA"
"138716","Public","GA"
"138761","Private, nonprofit","GA"
"138813","Private, for-profit","GA"
"138822","Private, for-profit","GA"
"138840","Public","GA"
"138868","Private, nonprofit","GA"
"138901","Public","GA"
"138929","Private, for-profit","GA"
"138938","Private, for-profit","GA"
"138947","Private, nonprofit","GA"
"138956","Public","GA"
"139144","Private, nonprofit","GA"
"139153","Private, nonprofit","GA"
"139199","Private, nonprofit","GA"
"139205","Private, nonprofit","GA"
"139250","Public","GA"
"139278","Public","GA"
"139311","Public","GA"
"139348","Private, nonprofit","GA"
"139357","Public","GA"
"139366","Public","GA"
"139384","Public","GA"
"139393","Private, nonprofit","GA"
"139463","Public","GA"
"139506","Private, for-profit","GA"
"139579","Private, for-profit","GA"
"139621","Public","GA"
"139630","Private, nonprofit","GA"
"139658","Private, nonprofit","GA"
"139700","Public","GA"
"139719","Public","GA"
"139746","Public","GA"
"139755","Public","GA"
"139764","Public","GA"
"139861","Public","GA"
"139931","Public","GA"
"139940","Public","GA"
"139959","Public","GA"
"139968","Public","GA"
"139986","Public","GA"
"139995","Private, nonprofit","GA"
"140003","Private, for-profit","GA"
"140012","Public","GA"
"140146","Private, nonprofit","GA"
"140234","Private, nonprofit","GA"
"140243","Public","GA"
"140252","Private, nonprofit","GA"
"140331","Public","GA"
"140340","Private, nonprofit","GA"
"140447","Private, nonprofit","GA"
"140553","Private, nonprofit","GA"
"140562","Private, nonprofit","GA"
"140678","Public","GA"
"140696","Private, nonprofit","GA"
"140720","Private, nonprofit","GA"
"140818","Private, nonprofit","GA"
"140827","Private, for-profit","GA"
"140872","Private, nonprofit","GA"
"140942","Public","GA"
"140951","Private, nonprofit","GA"
"140960","Public","GA"
"140988","Private, nonprofit","GA"
"141006","Public","GA"
"141015","Private, for-profit","GA"
"141060","Private, nonprofit","GA"
"141167","Private, nonprofit","GA"
"141185","Private, nonprofit","GA"
"141237","Private, nonprofit","GA"
"141255","Public","GA"
"141264","Public","GA"
"141325","Private, nonprofit","GA"
"141334","Public","GA"
"141361","Private, nonprofit","GA"
"141486","Private, nonprofit","HI"
"141565","Public","HI"
"141574","Public","HI"
"141608","Private, for-profit","HI"
"141644","Private, nonprofit","HI"
"141680","Public","HI"
"141796","Public","HI"
"141802","Public","HI"
"141811","Public","HI"
"141839","Public","HI"
"141981","Public","HI"
"141990","Public","HI"
"142054","Private, for-profit","ID"
"142090","Private, nonprofit","ID"
"142115","Public","ID"
"142179","Public","ID"
"142276","Public","ID"
"142285","Public","ID"
"142294","Private, nonprofit","ID"
"142328","Public","ID"
"142407","Private, for-profit","ID"
"142416","Private, for-profit","ID"
"142443","Public","ID"
"142461","Private, nonprofit","ID"
"142489","Private, for-profit","ID"
"142522","Private, nonprofit","ID"
"142559","Public","ID"
"142832","Private, nonprofit","IL"
"142887","Private, nonprofit","IL"
"142957","Private, nonprofit","IL"
"143048","Private, nonprofit","IL"
"143084","Private, nonprofit","IL"
"143118","Private, nonprofit","IL"
"143215","Public","IL"
"143233","Private, nonprofit","IN"
"143279","Public","IL"
"143288","Private, nonprofit","IL"
"143297","Private, nonprofit","IL"
"143303","Private, nonprofit","IL"
"143358","Private, nonprofit","IL"
"143376","Private, for-profit","IL"
"143464","Private, for-profit","IL"
"143473","Private, for-profit","IL"
"143482","Private, for-profit","IL"
"143491","Private, for-profit","IL"
"143552","Private, for-profit","IL"
"143613","Public","IL"
"143659","Private, nonprofit","IL"
"143853","Private, nonprofit","IL"
"143978","Private, nonprofit","IL"
"144005","Public","IL"
"144014","Private, nonprofit","IL"
"144050","Private, nonprofit","IL"
"144157","Public","IL"
"144166","Public","IL"
"144175","Public","IL"
"144184","Public","IL"
"144193","Public","IL"
"144209","Public","IL"
"144218","Public","IL"
"144281","Private, nonprofit","IL"
"144351","Private, nonprofit","IL"
"144485","Private, for-profit","IL"
"144564","Public","IL"
"144573","Private, for-profit","IL"
"144740","Private, nonprofit","IL"
"144795","Private, for-profit","IL"
"144865","Public","IL"
"144883","Private, nonprofit","IL"
"144892","Public","IL"
"144944","Public","IL"
"144962","Private, nonprofit","IL"
"144971","Private, nonprofit","IL"
"145099","Private, for-profit","IL"
"145239","Private, for-profit","IL"
"145275","Private, nonprofit","IL"
"145309","Private, for-profit","IL"
"145336","Public","IL"
"145354","Private, nonprofit","IL"
"145372","Private, nonprofit","IL"
"145406","Private, for-profit","IL"
"145424","Private, for-profit","IL"
"145433","Private, for-profit","IL"
"145497","Private, nonprofit","IL"
"145521","Public","IL"
"145558","Private, nonprofit","IL"
"145600","Public","IL"
"145619","Private, nonprofit","IL"
"145628","Private, nonprofit","IL"
"145637","Public","IL"
"145646","Private, nonprofit","IL"
"145682","Public","IL"
"145691","Private, nonprofit","IL"
"145707","Public","IL"
"145725","Private, nonprofit","IL"
"145813","Public","IL"
"145831","Public","IL"
"145886","Private, nonprofit","IL"
"146205","Public","IL"
"146278","Public","IL"
"146296","Public","IL"
"146339","Private, nonprofit","IL"
"146348","Public","IL"
"146366","Public","IL"
"146418","Public","IL"
"146427","Private, nonprofit","IL"
"146454","Private, for-profit","IL"
"146472","Public","IL"
"146481","Private, nonprofit","IL"
"146490","Private, nonprofit","IL"
"146506","Public","IL"
"146533","Private, nonprofit","IL"
"146603","Public","IL"
"146612","Private, nonprofit","IL"
"146667","Private, nonprofit","IL"
"146676","Private, nonprofit","IL"
"146685","Public","IL"
"146700","Private, for-profit","IL"
"146719","Private, nonprofit","IL"
"146728","Private, nonprofit","IL"
"146755","Private, nonprofit","IL"
"146807","Private, for-profit","IL"
"146816","Private, nonprofit","IL"
"146977","Private, nonprofit","IL"
"147004","Public","IL"
"147013","Private, nonprofit","IL"
"147031","Private, nonprofit","IL"
"147129","Private, nonprofit","IL"
"147244","Private, nonprofit","IL"
"147341","Private, nonprofit","IL"
"147369","Private, nonprofit","IL"
"147378","Public","IL"
"147396","Private, nonprofit","IL"
"147411","Public","IL"
"147536","Private, nonprofit","IL"
"147590","Private, nonprofit","IL"
"147642","Private, for-profit","IL"
"147660","Private, nonprofit","IL"
"147679","Private, nonprofit","IL"
"147697","Private, nonprofit","IL"
"147703","Public","IL"
"147767","Private, nonprofit","IL"
"147776","Public","IL"
"147800","Public","IL"
"147819","Private, for-profit","IL"
"147828","Private, nonprofit","IL"
"147916","Public","IL"
"148007","Public","IL"
"148016","Private, nonprofit","IL"
"148098","Private, for-profit","IL"
"148131","Private, nonprofit","IL"
"148256","Public","IL"
"148292","Public","IL"
"148380","Public","IL"
"148405","Private, nonprofit","IL"
"148487","Private, nonprofit","IL"
"148496","Private, nonprofit","IL"
"148511","Private, nonprofit","IL"
"148575","Private, nonprofit","IL"
"148584","Private, nonprofit","IL"
"148593","Private, nonprofit","IL"
"148627","Private, nonprofit","IL"
"148654","Public","IL"
"148672","Public","IL"
"148821","Public","IL"
"148876","Private, nonprofit","IL"
"148885","Private, nonprofit","IL"
"148937","Public","IL"
"148955","Private, nonprofit","IL"
"148982","Private, nonprofit","IL"
"148991","Public","IL"
"149028","Private, nonprofit","IL"
"149204","Private, for-profit","IL"
"149222","Public","IL"
"149231","Public","IL"
"149310","Private, for-profit","IL"
"149329","Private, nonprofit","IL"
"149365","Public","IL"
