UNITID,SATVRMID,SATMTMID
145460,NULL,NULL
145497,555,500
145521,NULL,NULL
145558,NULL,NULL
145600,590,615
145619,499,509
145628,NULL,NULL
145637,670,750
145646,640,655
145682,NULL,NULL
145691,NULL,NULL
145707,NULL,NULL
145725,630,690
145770,NULL,NULL
145813,NULL,NULL
145831,NULL,NULL
145886,NULL,NULL
146205,NULL,NULL
146241,NULL,NULL
146278,NULL,NULL
146296,NULL,NULL
146339,513,508
146348,NULL,NULL
146366,NULL,NULL
146393,NULL,NULL
146418,NULL,NULL
146427,NULL,NULL
146454,NULL,NULL
146472,NULL,NULL
146481,NULL,NULL
146490,NULL,NULL
146506,NULL,NULL
146533,NULL,NULL
146603,NULL,NULL
146612,535,550
146667,488,475
146676,385,370
146685,NULL,NULL
146700,NULL,NULL
146719,615,600
146728,NULL,NULL
146755,NULL,NULL
146807,NULL,NULL
146816,NULL,NULL
146825,529,525
146977,NULL,NULL
147004,NULL,NULL
147013,537,526
147031,NULL,NULL
147129,NULL,NULL
147165,NULL,NULL
147244,595,575
147341,515,480
147369,NULL,NULL
147378,NULL,NULL
147396,NULL,NULL
147411,NULL,NULL
147439,NULL,NULL
147536,NULL,NULL
147590,NULL,NULL
147642,NULL,NULL
147660,627,567
147679,545,550
147697,NULL,NULL
147703,NULL,NULL
147749,NULL,NULL
147767,735,755
147776,551,425
147800,NULL,NULL
147819,NULL,NULL
147828,565,560
147916,NULL,NULL
148007,NULL,NULL
148016,593,570
148098,NULL,NULL
148131,510,500
148140,NULL,NULL
148177,NULL,NULL
148256,NULL,NULL
148292,NULL,NULL
148335,NULL,NULL
148380,NULL,NULL
148399,NULL,NULL
148405,465,485
148487,479,460
148496,570,540
148511,NULL,NULL
148575,NULL,NULL
148584,560,575
148593,NULL,NULL
148627,559,530
148654,570,580
148672,NULL,NULL
148821,NULL,NULL
148876,NULL,NULL
148885,NULL,NULL
148937,NULL,NULL
148955,NULL,NULL
148982,NULL,NULL
148991,NULL,NULL
149028,NULL,NULL
149204,NULL,NULL
149222,540,585
149231,555,548
149310,NULL,NULL
149329,NULL,NULL
149365,NULL,NULL
149499,NULL,NULL
149505,570,555
149514,510,520
149532,NULL,NULL
149550,NULL,NULL
149639,NULL,NULL
149727,NULL,NULL
149763,NULL,NULL
149772,NULL,NULL
149781,675,645
149842,NULL,NULL
150048,NULL,NULL
150066,500,510
150136,590,570
150145,535,520
150163,620,615
150172,NULL,NULL
150215,NULL,NULL
150251,NULL,NULL
150288,NULL,NULL
150303,NULL,NULL
150400,605,615
150428,NULL,NULL
150437,NULL,NULL
150455,655,640
150534,565,573
150604,555,550
150668,557,550
150677,560,545
150756,590,575
150765,NULL,NULL
150774,595,580
150853,NULL,NULL
150941,540,520
150987,NULL,NULL
151102,540,530
151111,550,543
151166,NULL,NULL
151263,545,540
151290,525,515
151306,540,530
151324,510,495
151333,525,510
151342,520,505
151351,620,625
151360,502,490
151379,525,510
151388,520,509
151458,NULL,NULL
151467,NULL,NULL
151564,NULL,NULL
151607,NULL,NULL
151616,NULL,NULL
151652,NULL,NULL
151661,NULL,NULL
151777,NULL,NULL
151786,550,550
151801,565,550
151810,NULL,NULL
151865,NULL,NULL
151944,NULL,NULL
